,"group","gapedistance_mm","protrusiondistance_mm","bodymass_g","adductormandibulaemass_g","sternohyoideusmass_g","levatorposteriormass_g","jawclosingleverratio","jawopeningleverratio","jawkt"
"Coris_gaimard","wrasse",9.63,6.6,228.4,0.66,0.841,0.7542,0.31,0.19,0.87
"Coris_pictoides","wrasse",3.73,1.7,7.1,0.018,0.044,0.0057,0.27,0.21,0.69
"Cymolutes_praetextatus","wrasse",4.57,1.27,10.5,0.088,0.056,0.005,0.31,0.18,1.13
"Cymolutes_torquatus","wrasse",5.48,1.53,9.3,0.063,0.028,0.0038,0.32,0.17,1.07
"Diproctacanthus_xanthurus","wrasse",2.36,1.38,4.5,0.012,0.026,0.0001,0.2,0.28,0.75
"Epibulus_insidiator","wrasse",16.4,48.6,472.6,0.821,3.025,0.314,0.23,0.23,1.02
"Gomphosus_varius","wrasse",8,12.4,104.3,0.676,0.63,0.141,0.17,0.08,0.97
"Halichoeres_maculipinna","wrasse",5,1.57,32.1,0.052,0.167,0.0191,0.27,0.22,0.69
"Halichoeres_biocellatus","wrasse",5.43,2.33,24.6,0.044,0.121,0.038,0.17,0.11,0.69
"Halichoeres_bivittatus","wrasse",5.04,1.2,25.6,0.092,0.115,0.0536,0.31,0.194,0.78
"Halichoeres_chloropterus","wrasse",5.87,4.1,63,0.204,0.25,0.108,0.29,0.18,0.73
"Halichoeres_chrysus","wrasse",3.7,0.73,10.9,0.01,0.031,0.007,0.18,0.17,0.73
"Halichoeres_garnoti","wrasse",6.19,2.1,66.4,0.201,0.245,0.1194,0.309,0.202,0.7
"Halichoeres_hortulanus","wrasse",8.93,6.45,214.3,0.815,1.002,1.19,0.3,0.19,0.88
"Halichoeres_margaritaceus","wrasse",5.47,2.77,26.1,0.061,0.162,0.0291,0.22,0.2,0.71
"Halichoeres_marginatus","wrasse",4.35,2.95,52,0.074,0.185,0.0183,0.35,0.22,0.83
"Halichoeres_melanurus","wrasse",3.5,2.6,11.4,0.017,0.043,0.0093,0.19,0.17,0.93
"Halichoeres_melasmapomus","wrasse",2.85,2,4.2,0.006,0.013,0.013,0.29,0.15,0.9
"Halichoeres_miniatus","wrasse",4.07,2.37,12.9,0.047,0.08,0.012,0.25,0.2,0.8
"Halichoeres_nebulosus","wrasse",4.15,1.15,8.5,0.028,0.064,0.009,0.25,0.18,0.63
"Halichoeres_nigrescens","wrasse",2.8,1.9,3.3,0.007,0.015,0.001,0.29,0.2,0.9
"Halichoeres_ornatissimus","wrasse",2.97,1.77,7,0.01,0.039,0.0057,0.19,0.17,0.85
"Halichoeres_pictus","wrasse",3.94,0.7,13.3,0.014,0.033,0.009,0.264,0.157,0.848
"Halichoeres_poeyi","wrasse",5.27,0.6,13.3,0.043,0.047,0.014,0.32,0.186,0.83
"Halichoeres_prosopeion","wrasse",4.98,3.05,21.4,0.034,0.077,0.022,0.18,0.16,0.98
"Halichoeres_radiatus","wrasse",5.4,2,35.6,0.083,0.13,0.0585,0.311,0.19,0.747
"Halichoeres_scapularis","wrasse",3.9,2.17,5.6,0.012,0.022,0.008,0.25,0.18,0.91
"Halichoeres_trimaculatus","wrasse",5.97,3.17,33.7,0.079,0.218,0.061,0.21,0.15,0.87
"Hemigymnus_melapterus","wrasse",11.23,13.13,177.7,0.556,1.401,0.129,0.3,0.24,0.54
"Hologymnosus_annulatus","wrasse",8.95,4.55,139.8,0.791,0.945,0.0749,0.21,0.12,1
"Hologymnosus_doliatus","wrasse",8.93,4.53,123.5,0.541,0.635,0.062,0.23,0.15,0.98
"Labrichthys_unilineatus","wrasse",4.93,2.13,63.4,0.154,0.145,0.0017,0.29,0.23,0.69
"Labroides_bicolor","wrasse",3.73,1.47,14.8,0.022,0.039,0.0002,0.18,0.28,0.55
"Labroides_dimidiatus","wrasse",2.03,1.23,4.4,0.005,0.01,0.0002,0.22,0.24,0.65
"Labropsis_australis","wrasse",3.73,1,18.9,0.063,0.095,0.0007,0.2,0.35,0.59
"Lachnolaimus_maximus","wrasse",46.99,14.22,2218.2,7.261,13.772,15.0314,0.27,0.171,0.603
"Leptojulis_cyanopleura","wrasse",2.6,1.07,4.5,0.006,0.014,0.0002,0.25,0.16,0.82
"Macropharyngodon_choati","wrasse",4.9,1.9,17.2,0.024,0.087,0.0382,0.24,0.14,0.82
"Macropharyngodon_kuiteri","wrasse",3.03,1.8,9.6,0.01,0.045,0.0214,0.22,0.16,0.9
"Macropharyngodon_meleagris","wrasse",5.35,2.48,47.6,0.09,0.253,0.1545,0.28,0.18,0.84
"Macropharyngodon_negrosensis","wrasse",3.17,1.27,10.7,0.015,0.055,0.035,0.2,0.17,0.95
"Novaculichthys_taeniourus","wrasse",13.4,6.13,169.8,1.079,0.815,0.1381,0.3,0.23,1
"Oxycheilinus_bimaculatus","wrasse",8.47,2.53,12.3,0.045,0.083,0.0208,0.2,0.18,0.95
"Oxycheilinus_digrammus","wrasse",13.5,7.8,97.5,0.981,1.138,0.1213,0.33,0.12,0.9
"Oxycheilinus_unifasciatus","wrasse",17.17,8.4,100,0.726,1.394,0.0814,0.28,0.14,0.8
"Pseudocheilinus_octotaenia","wrasse",6.57,3.53,9.9,0.048,0.147,0.051,0.18,0.14,0.95
"Pseudocoris_yamashiroi","wrasse",3.47,3.13,11,0.005,0.023,0.0013,0.18,0.12,1.35
"Pseudodax_moluccanus","wrasse",8.7,3.15,183.7,0.424,0.567,0.271,0.31,0.18,0.89
"Pseudojuloides_cerasinus","wrasse",2.5,1.83,9.6,0.012,0.051,0.0027,0.14,0.2,0.82
"Pseudolabrus_guentheri","wrasse",9.1,3.4,36.4,0.213,0.287,0.07,0.26,0.18,0.72
"Pteragogus_cryptus","wrasse",4.93,2.03,6.6,0.015,0.042,0.0181,0.24,0.19,1.03
"Stethojulis_bandanensis","wrasse",4.97,4.27,19.6,0.026,0.082,0.0037,0.34,0.3,0.65
"Stethojulis_trilineata","wrasse",6.23,3.87,45.5,0.049,0.244,0.0082,0.27,0.26,0.8
"Thalassoma_amblycephalum","wrasse",4.63,3.37,14.1,0.021,0.07,0.0028,0.25,0.19,1.05
"Thalassoma_bifasciatum","wrasse",4.04,4.1,11.1,0.028,0.053,0.0051,0.286,0.181,0.786
"Thalassoma_hardwicke","wrasse",8.63,6.27,85.7,0.44,0.537,0.122,0.35,0.15,0.89
"Thalassoma_jansenii","wrasse",8.43,5.8,70.8,0.486,0.552,0.158,0.33,0.13,0.89
"Thalassoma_lunare","wrasse",7.77,5.23,79,0.378,0.35,0.113,0.3,0.16,0.82
"Thalassoma_lutescens","wrasse",5.13,4,30.7,0.116,0.198,0.218,0.24,0.14,0.72
"Thalassoma_quinquevittatum","wrasse",7.8,5.87,55.8,0.2,0.642,0.0651,0.22,0.15,1.09
"Thalassoma_trilobatum","wrasse",13.43,6.67,203.8,0.84,1.59,0.281,0.32,0.2,0.64
"Wetmorella_nigropinnata","wrasse",3.03,1.17,3.8,0.008,0.014,0.003,0.18,0.18,1.32
"Xiphocheilus_typus","wrasse",12,2.87,42.1,0.089,0.187,0.053,0.18,0.13,0.45
"Xyrichtys_martinicensis","wrasse",3.3,4.2,7,0.022,0.023,0.001,0.373,0.246,0.897
"Xyrichtys_novacula","wrasse",7.03,2.33,40.4,0.215,0.171,0.0161,0.374,0.265,0.991
